"COMPAÑÍA","ORIGEN","DESTINO","Ene","Feb","Mar","Abr","May","Jun","Jul","Agos","Set","Oct","Nov","Dic","Total general"
"ABSA - AEROLINHAS BRASILEIRAS","LIMA","MIAMI","462,064","-","-","-","-","-","249,831","105,392","365,160","-","-","-","1,182,447"
"ABX AIR INC.","LIMA","MIAMI","415,414","572,382","639,703","608,029","516,673","-","38,437","-","-","-","-","-","2,790,638"
"AERCARIBE PERU","IQUITOS","BOGOTA","2,179","-","1,663","3,380","-","1,862","1,371","1,830","1,187","2,993","12,150","1,941","30,556"
"AERCARIBE PERU","LIMA","BOGOTA","-","-","20,239","32,087","-","-","-","17,246","-","-","-","-","69,572"
"AERCARIBE PERU","LIMA","CURACAO","-","-","-","-","-","-","-","-","-","-","-","77,633","77,633"
"AERCARIBE PERU","LIMA","SANTA CRUZ","-","-","-","-","-","-","-","-","-","-","38,835","-","38,835"
"AERCARIBE PERU","LIMA","SANTIAGO DE CHILE","-","-","-","-","-","-","-","-","-","7,562","-","-","7,562"
"AERO LINEAS ARGENTINAS S.A.","LIMA","BUENOS AIRES","28,653","44,166","27,986","17,867","25,001","24,493","35,969","28,629","44,654","33,334","12,971","33,949","357,672"
"AEROGAL","LIMA","BOGOTA","-","-","-","-","-","-","-","-","-","-","384","22,923","23,307"
"AEROGAL","LIMA","GUAYAQUIL","24,931","22,008","26,146","33,655","26,027","24,869","43,109","13,910","22,621","13,618","17,802","20,560","289,256"
"AEROGAL","LIMA","LA PAZ","31,836","26,821","44,246","36,068","45,242","45,773","71,782","45,192","40,569","41,469","37,662","36,567","503,227"
"AEROGAL","LIMA","QUITO","12,000","14,466","11,964","8,872","9,447","13,853","54,365","11,052","10,980","12,103","14,720","8,795","182,617"
"AEROGAL","LIMA","SANTA CRUZ","15,298","40,419","53,865","31,349","41,418","24,728","72,926","41,119","25,742","49,914","22,094","-","418,872"
"AEROLANE, L.A NAC.DEL ECUADOR S.A.","LIMA","BUENOS AIRES","3,057","261","1,330","2,476","-","-","6,863","-","-","-","-","-","13,987"
"AEROLANE, L.A NAC.DEL ECUADOR S.A.","LIMA","GUAYAQUIL","69,513","69,808","72,312","98,837","81,329","84,170","128,429","108,156","133,434","74,079","132,470","190,719","1,243,256"
"AEROLANE, L.A NAC.DEL ECUADOR S.A.","LIMA","QUITO","13,511","19,005","39,048","25,596","26,766","27,157","22,101","13,938","21,688","19,709","24,093","22,493","275,105"
"AEROVIAS DE MEXICO S.A. DE C.V","LIMA","MEXICO","46,413","61,848","62,673","56,030","49,460","115,749","112,613","70,022","64,483","90,462","90,422","98,794","918,969"
"AIR CANADA","LIMA","MONTREAL","109,602","102,696","98,631","103,142","81,673","82,823","111,642","83,993","123,010","111,227","132,415","128,829","1,269,683"
"AIR CANADA","LIMA","TORONTO","211,972","142,083","168,117","193,744","155,746","165,908","185,980","165,871","189,842","192,403","203,319","231,636","2,206,621"
"AIR EUROPA LINEAS AEREAS S.A.","LIMA","MADRID","304,212","367,870","417,114","306,463","140,695","353,245","481,127","408,223","328,130","363,928","371,857","380,562","4,223,426"
"AIR FRANCE","LIMA","PARIS","112,979","70,684","117,262","173,418","97,667","257,238","277,125","261,547","316,045","205,916","221,190","268,285","2,379,356"
"AMERICAN AIRLINES INC.","LIMA","DALLAS","13,161","19,512","6,322","5,743","6,173","9,022","7,164","9,293","13,210","10,776","4,103","2,496","106,975"
"AMERICAN AIRLINES INC.","LIMA","MIAMI","306,823","193,269","237,290","329,831","355,587","147,804","356,349","397,494","296,229","240,761","239,346","347,954","3,448,737"
"ATLAS AIR INC","LIMA","MIAMI","1,885,693","639,899","422,455","1,065,738","1,096,322","532,877","1,074,250","981,712","1,190,568","962,035","988,004","1,326,232","12,165,785"
"ATLAS AIR INC","LIMA","MONTERREY","-","-","-","-","-","-","-","-","-","-","-","97,881","97,881"
"ATLAS AIR INC","LIMA","QUITO","-","-","-","3,540","-","-","-","-","-","-","-","-","3,540"
"ATLAS AIR INC","LIMA","SANTIAGO DE CHILE","-","-","365","3,841","101","868","-","446","-","-","-","-","5,621"
"ATSA","LIMA","ANTOFAGASTA","-","-","-","-","-","-","-","-","-","-","80","-","80"
"ATSA","LIMA","ASUNCION","-","-","-","-","-","-","-","10","-","-","-","-","10"
"ATSA","LIMA","BOGOTA","-","40","-","-","-","-","-","40","-","-","-","90","170"
"ATSA","LIMA","CALAMA","-","-","-","-","-","-","-","30","-","-","-","-","30"
"ATSA","LIMA","CIUDAD DE GUATEMALA","-","-","-","-","-","20","-","-","-","-","-","-","20"
"ATSA","LIMA","CIUDAD DE PANAMA","-","-","-","-","-","-","70","-","-","-","-","-","70"
"ATSA","LIMA","GRACE BAY","-","-","-","-","-","-","-","-","-","30","-","-","30"
"ATSA","LIMA","LA PAZ","-","-","-","30","-","-","-","30","-","-","-","-","60"
"ATSA","LIMA","PALM BEACH","-","-","20","-","80","-","-","-","-","-","20","-","120"
"ATSA","LIMA","QUITO","-","-","-","-","30","-","70","-","-","-","30","-","130"
"ATSA","LIMA","SALTA","-","20","60","-","-","30","-","-","-","-","-","-","110"
"ATSA","LIMA","SANTA CRUZ","-","-","-","-","60","-","80","-","-","-","-","-","140"
"ATSA","LIMA","SANTIAGO DE CHILE","-","-","-","-","-","-","-","-","-","70","-","70","140"
"AVIANCA","LIMA","BOGOTA","428,344","332,722","345,873","197,838","176,192","361,121","408,613","403,327","335,582","183,804","311,285","386,426","3,871,127"
"AVIANCA PERU","LIMA","ASUNCION","16,897","21,538","15,324","26,245","32,124","29,334","25,405","27,731","26,095","26,278","26,222","25,191","298,384"
"AVIANCA PERU","LIMA","BOGOTA","10,497","18,447","8,054","17,757","31,858","32,033","38,998","60,579","51,498","70,619","35,728","85,220","461,288"
"AVIANCA PERU","LIMA","BUENOS AIRES","500,346","240,271","194,527","129,655","72,781","102,442","260,779","147,840","359,766","236,221","376,641","454,611","3,075,880"
"AVIANCA PERU","LIMA","CALI","4,113","890","5,808","1,722","1,524","538","2,411","2,160","3,099","302","2,449","-","25,016"
"AVIANCA PERU","LIMA","CANCUN","-","-","36","-","-","269","237","345","1,642","-","-","15","2,544"
"AVIANCA PERU","LIMA","EL SALVADOR","184,773","126,253","125,332","106,346","112,283","110,709","146,743","146,566","138,076","164,317","193,729","190,285","1,745,412"
"AVIANCA PERU","LIMA","HABANA","30,976","29,241","32,422","27,038","28,760","21,811","25,482","16,684","20,629","15,904","1,347","-","250,294"
"AVIANCA PERU","LIMA","MEDELLIN","6,402","8,228","17,222","4,355","7,254","1,604","3,425","4,691","3,984","2,432","4,166","-","63,763"
"AVIANCA PERU","LIMA","MENDOZA","220","521","-","-","-","-","-","-","-","-","-","-","741"
"AVIANCA PERU","LIMA","MEXICO","4,705","4,518","5,857","5,445","1,611","7,282","4,454","11,383","869","5,638","9,101","7,736","68,599"
"AVIANCA PERU","LIMA","MIAMI","785,787","498,404","462,715","616,712","680,415","682,554","1,068,754","1,001,920","778,893","761,996","741,124","499,490","8,578,764"
"AVIANCA PERU","LIMA","MONTEVIDEO","27,859","23,695","34,582","30,421","35,753","23,848","27,971","33,406","28,300","25,473","27,136","19,076","337,520"
"AVIANCA PERU","LIMA","ORLANDO","1","2","1","1","1","-","-","-","-","-","-","-","6"
"AVIANCA PERU","LIMA","PORTO ALEGRE","7,894","7,242","13,049","10,922","15,237","10,692","11,405","12,269","8,671","12,924","8,680","6,568","125,553"
"AVIANCA PERU","LIMA","PUNTA CANA","190","4,651","16,386","6,310","12,360","7,769","13,415","9,762","4,698","5,857","6,196","11,077","98,671"
"AVIANCA PERU","LIMA","RIO DE JANEIRO","16,611","14,231","14,599","16,788","8,231","4,888","10,342","11,593","17,072","10,205","9,434","1,770","135,764"
"AVIANCA PERU","LIMA","SALVADOR DE BAHIA","-","-","-","-","-","594","-","-","-","-","-","-","594"
"AVIANCA PERU","LIMA","SANTIAGO DE CHILE","4,815","7,198","96,074","3,553","4,751","186,320","4,558","2,277","197,704","115,652","123,331","265,113","1,011,346"
"AVIANCA PERU","LIMA","SAO PAULO","170,488","77,881","232,388","218,407","157,346","188,988","148,434","156,500","179,086","154,945","306,048","329,416","2,319,927"
"AVIOR AIRLINES","LIMA","CARACAS","6,730","4,483","10,124","14,443","5,224","9,166","9,309","13,443","6,375","2,270","4,929","-","86,496"
"BRITISH AIRWAYS","LIMA","LONDRES","-","-","11,952","157,013","70,888","155,830","196,483","130,679","202,617","100,335","-","-","1,025,797"
"CARGOJET","LIMA","BOGOTA","-","-","-","22,553","51,470","27,968","44,555","-","-","-","-","-","146,546"
"CARGOJET","LIMA","HAMILTON","55,141","61,160","56,775","8,900","-","-","-","-","-","-","-","-","181,976"
"COPA AIRLINES","LIMA","CIUDAD DE PANAMA","138,013","79,816","121,982","101,632","102,769","93,821","69,545","87,530","92,718","112,895","122,680","99,320","1,222,721"
"DELTA AIRLINES INC.","LIMA","ATLANTA","515,446","347,384","492,260","402,526","274,222","494,277","484,353","487,532","492,065","466,184","369,189","411,675","5,237,113"
"DHL EXPRESS AEREO","LIMA","CIUDAD DE PANAMA","-","-","-","-","-","-","3,659","-","-","4,350","3,405","2,452","13,866"
"DHL EXPRESS AEREO","LIMA","QUITO","-","-","25,610","47,400","67,645","45,851","69,990","61,908","77,160","80,307","99,365","101,148","676,384"
"ESTELAR LATINOAMERICA","LIMA","CARACAS","457","-","-","-","-","-","-","-","-","-","-","-","457"
"GOL TRANSPORTES AEREOS S.A.","LIMA","SAO PAULO","-","-","-","-","-","-","-","-","-","-","-","4,475","4,475"
"IBERIA, LINEAS A. DE ESPAÑA","LIMA","MADRID","514,245","394,488","451,605","371,217","198,049","498,044","582,720","539,959","707,158","708,732","706,682","688,171","6,361,070"
"INTERJET","LIMA","CANCUN","-","-","-","-","-","538","7,212","6,848","2,404","1,063","-","-","18,065"
"INTERJET","LIMA","MEXICO","55,502","38,895","73,493","52,684","53,577","39,899","39,971","31,653","29,341","38,230","28,069","29,546","510,860"
"KALITTA AIR INC","LIMA","MIAMI","-","-","-","-","-","-","-","-","197,768","874,778","385,655","110,110","1,568,311"
"KLM CIA. REAL H. DE AVIACION","LIMA","AMSTERDAM","642,739","466,837","587,615","533,397","487,964","612,114","612,446","612,424","614,580","612,993","630,646","698,045","7,111,800"
"KOREAN AIR CARGO","LIMA","LOS ANGELES","201,844","52,472","116,883","165,424","117,687","233,597","236,506","295,775","406,232","235,182","432,462","350,118","2,844,182"
"LACSA","LIMA","SAN JOSE DE COSTA RICA","42,301","29,148","36,788","35,254","39,772","36,355","32,960","41,970","39,028","25,847","35,485","30,827","425,735"
"LACSA","LIMA","SANTIAGO DE CHILE","19,040","16,576","12,341","10,855","11,175","10,553","10,571","10,996","19,304","15,961","9,072","15,123","161,567"
"LAN ARGENTINA S.A.","LIMA","BUENOS AIRES","676","1","836","1,681","409","3,986","9,207","9,012","7,024","1,944","4,851","6,502","46,129"
"LAN CARGO S.A.","LIMA","MIAMI","-","49,749","52,931","-","209,018","-","468,715","194,532","748,027","53,010","105,621","105,645","1,987,248"
"LAN CARGO S.A.","LIMA","MONTEVIDEO","-","-","-","-","-","-","-","38,315","-","-","-","-","38,315"
"LAN CARGO S.A.","LIMA","QUITO","-","-","-","-","-","-","-","-","8,658","647","3,532","1,697","14,534"
"LAN CARGO S.A.","LIMA","SANTIAGO DE CHILE","-","-","-","-","-","36,156","-","27,514","-","-","-","-","63,670"
"LAN COLOMBIA","LIMA","BOGOTA","-","-","-","-","-","-","-","-","-","9,947","21,625","-","31,572"
"LAN COLOMBIA AIRLINES-AIRES","LIMA","BOGOTA","-","-","-","-","-","-","-","-","-","-","-","20,076","20,076"
"LATAM AIRLINES GROUPS","LIMA","LOS ANGELES","64,228","68,575","70,280","168,107","179,783","187,903","170,515","107,585","131,539","92,613","-","-","1,241,128"
"LATAM AIRLINES GROUPS","LIMA","NEW YORK","453,298","227,455","390,097","352,966","239,693","358,217","562,492","520,258","559,101","545,840","527,655","503,738","5,240,810"
"LATAM AIRLINES GROUPS","LIMA","SANTIAGO DE CHILE","494,243","282,595","384,505","353,695","155,188","430,645","463,019","383,421","451,763","502,868","604,391","526,521","5,032,854"
"LATAM AIRLINES PERÚ","LIMA","ANTOFAGASTA","-","-","-","-","4","-","-","-","-","-","-","-","4"
"LATAM AIRLINES PERÚ","LIMA","ASUNCION","9,191","15,490","3,235","-","-","-","-","-","-","-","1,548","-","29,464"
"LATAM AIRLINES PERÚ","LIMA","BARCELONA (ESPAÑA)","5,347","2,341","5,166","2,549","2,053","4,311","3,260","3,988","4,523","3,890","18,436","17,946","73,810"
"LATAM AIRLINES PERÚ","LIMA","BOGOTA","16,724","20,999","33,128","46,487","32,102","27,602","34,115","33,353","23,569","143,033","167,615","150,859","729,586"
"LATAM AIRLINES PERÚ","LIMA","BUENOS AIRES","349,742","213,964","218,311","141,128","179,278","129,403","39,219","31,665","52,936","198,128","176,597","265,210","1,995,581"
"LATAM AIRLINES PERÚ","LIMA","CALI","654","161","412","2,983","2,042","321","593","795","405","1,014","2,374","640","12,394"
"LATAM AIRLINES PERÚ","LIMA","CANCUN","399","308","54","273","259","-","-","404","-","636","841","-","3,174"
"LATAM AIRLINES PERÚ","LIMA","CARTAGENA","-","-","253","212","-","-","-","-","-","171","512","-","1,148"
"LATAM AIRLINES PERÚ","LIMA","CORDOBA","1,455","581","818","4,805","1,980","1,230","283","2,605","2,964","1,078","3,248","777","21,824"
"LATAM AIRLINES PERÚ","LIMA","GUAYAQUIL","5,103","4,757","3,356","7,754","5,577","3,972","12,489","7,850","6,282","34,823","46,878","20,694","159,535"
"LATAM AIRLINES PERÚ","LIMA","LA PAZ","11,785","20,984","18,683","18,323","23,606","37,747","30,186","32,637","22,914","25,003","29,291","28,816","299,975"
"LATAM AIRLINES PERÚ","LIMA","LOS ANGELES","452,087","325,481","444,326","269,436","258,084","263,394","326,226","345,474","286,571","276,252","682,866","804,976","4,735,173"
"LATAM AIRLINES PERÚ","LIMA","MADRID","152,810","149,663","213,824","171,429","76,278","160,859","158,909","156,451","125,229","532,070","587,376","576,130","3,061,028"
"LATAM AIRLINES PERÚ","LIMA","MEDELLIN","6,816","3,891","6,147","4,766","10,424","14,405","7,686","1,139","2,395","3,346","7,191","7,156","75,362"
"LATAM AIRLINES PERÚ","LIMA","MENDOZA","22","-","84","1,310","241","338","-","248","-","878","711","1,218","5,050"
"LATAM AIRLINES PERÚ","LIMA","MEXICO","332,686","166,411","249,850","242,141","218,767","191,687","230,697","268,140","278,162","255,488","257,729","391,513","3,083,271"
"LATAM AIRLINES PERÚ","LIMA","MIAMI","1,109,090","919,168","1,027,535","1,114,137","1,164,416","1,061,378","1,076,891","1,094,271","1,024,557","1,104,525","1,078,781","1,080,839","12,855,588"
"LATAM AIRLINES PERÚ","LIMA","MONTEVIDEO","7,558","5,203","7,122","7,100","14,297","17,716","15,458","11,113","15,618","13,849","12,186","20,874","148,094"
"LATAM AIRLINES PERÚ","LIMA","ORLANDO","815","1,392","2,502","3,234","1,697","6,933","5,789","4,935","2,952","2,801","75,649","127,180","235,879"
"LATAM AIRLINES PERÚ","LIMA","PUNTA CANA","506","3,813","7,867","2,237","1,075","2,828","3,013","4,311","2,003","4,041","6,441","7,352","45,487"
"LATAM AIRLINES PERÚ","LIMA","QUITO","-","-","-","-","-","-","2,659","-","-","-","-","-","2,659"
"LATAM AIRLINES PERÚ","LIMA","RIO DE JANEIRO","2,636","553","1,112","214","379","1,310","1,022","823","2,327","1,134","141","3,027","14,678"
"LATAM AIRLINES PERÚ","LIMA","ROSARIO","9,814","4,478","5,496","7,400","13,227","10,036","8,960","8,187","4,556","8,888","6,937","7,465","95,444"
"LATAM AIRLINES PERÚ","LIMA","SALTA","-","-","-","-","-","-","-","73","-","69","3","-","145"
"LATAM AIRLINES PERÚ","LIMA","SAN JOSE DE COSTA RICA","1,201","5,982","9,410","6,877","12,624","10,342","7,333","6,534","6,930","13,671","13,054","19,587","113,545"
"LATAM AIRLINES PERÚ","LIMA","SANTA CRUZ","12,399","8,179","9,698","17,704","27,824","26,936","20,273","27,036","24,865","19,647","14,864","19,917","229,342"
"LATAM AIRLINES PERÚ","LIMA","SANTIAGO DE CHILE","243,872","152,849","280,865","160,283","49,748","130,864","166,661","138,371","234,096","285,148","384,273","424,445","2,651,475"
"LATAM AIRLINES PERÚ","LIMA","SAO PAULO","8,283","6,657","39,808","393,368","369,637","401,441","8,873","21,533","220,229","451,676","434,801","449,405","2,805,711"
"LATAM AIRLINES PERÚ","LIMA","TUCUMAN","22","-","-","-","38","-","114","201","-","-","757","1,183","2,315"
"LÍNEAS Á  SURAMERICANAS S.A.","LIMA","ASUNCION","-","-","14,090","-","-","-","-","-","-","-","-","-","14,090"
"LÍNEAS Á  SURAMERICANAS S.A.","LIMA","BOGOTA","-","-","15,855","-","-","-","1,200","-","-","-","-","-","17,055"
"NORTHERN AIR CARGO","LIMA","MIAMI","-","-","-","-","152,887","570,500","555,497","701,982","586,683","604,561","553,479","593,871","4,319,460"
"PLUS ULTRA","LIMA","MADRID","160,994","134,987","144,751","114,790","35,855","134,596","181,920","111,561","137,300","141,205","164,272","159,945","1,622,176"
"POLAR AIR CARGO WORLDWIDE INC.","LIMA","CINCINNATI","71,128","-","-","-","-","-","-","-","-","-","-","-","71,128"
"SKY AIRLINE","LIMA","SANTIAGO DE CHILE","21,622","21,672","20,843","6,796","16,013","11,568","19,213","8,010","7,171","14,721","12,816","8,348","168,793"
"SKY LEASE","LIMA","BOGOTA","-","22,129","23,439","-","-","476","-","-","-","-","-","-","46,044"
"SKY LEASE","LIMA","BUENOS AIRES","-","-","5","-","-","-","-","-","-","-","-","-","5"
"SKY LEASE","LIMA","CIUDAD DEL ESTE","-","-","-","-","-","45,651","-","-","-","-","-","-","45,651"
"SKY LEASE","LIMA","MEDELLIN","-","-","24,714","-","-","6,045","-","-","-","-","-","-","30,759"
"SKY LEASE","LIMA","MIAMI","746,536","-","-","89,196","602,171","-","462,027","1,196,397","1,516,446","118,346","529,095","548,852","5,809,066"
"SKY LEASE","LIMA","MONTEVIDEO","-","-","-","90","-","-","-","-","-","-","-","-","90"
"SKY LEASE","LIMA","SANTIAGO DE CHILE","-","-","180","-","8","-","2,366","-","-","-","27,221","-","29,775"
"TACA INTERNACIONAL","LIMA","EL SALVADOR","31,084","10,302","22,448","2,085","326","801","23,230","22,289","17,597","20,747","14,998","2,492","168,399"
"TAM LINHAS AEREAS","LIMA","BUENOS AIRES","1,352","1,684","649","2,899","4,742","1,663","6,696","5,768","1,686","1,157","3,012","2,590","33,898"
"TAM LINHAS AEREAS","LIMA","CORDOBA","400","-","-","-","-","-","-","-","-","-","-","-","400"
"TAM LINHAS AEREAS","LIMA","SAO PAULO","825,191","1,020,263","658,038","23,462","12,878","29,845","471,344","482,313","275,159","35,305","142,345","19,886","3,996,029"
"TAME","LIMA","QUITO","14,550","9,122","-","-","-","-","-","-","-","-","-","-","23,672"
"TAMPA","LIMA","BOGOTA","113,447","100,052","3,353","12,557","129,006","8,715","108,387","40,385","113,768","193,855","367,402","210,718","1,401,645"
"TAMPA","LIMA","BUENOS AIRES","-","-","-","-","-","-","-","4,312","-","-","-","-","4,312"
"TAMPA","LIMA","MEDELLIN","6,024","-","-","-","-","8,466","16,170","-","80,780","1,812","1,075","-","114,327"
"TAMPA","LIMA","MIAMI","65,637","-","-","-","45,106","-","-","384,526","240,156","125,333","64,820","716,132","1,641,710"
"TAMPA","LIMA","QUITO","25,167","27,738","36,137","6,035","1,435","890","40,568","14,888","8,509","35,046","17,857","-","214,270"
"TRANS. A. BOLIVIANOS - TAB","LIMA","MIAMI","429,094","-","-","346,522","542,263","-","620,515","64,609","-","-","-","-","2,003,003"
"TRANSPORTES AEREOS DEL MERCOSUR","LIMA","ASUNCION","-","-","5,545","12,172","13,356","14,510","12,788","19,709","13,580","19,312","19,037","20,498","150,507"
"UNITED AIRLINES","LIMA","HOUSTON","343,737","161,773","307,136","252,410","152,194","261,084","312,516","279,570","315,185","340,800","323,564","392,111","3,442,080"
"UNITED AIRLINES","LIMA","NEWARK ","31,739","18,053","23,255","16,614","21,879","25,497","40,936","34,687","47,957","46,143","30,396","46,827","383,983"
"WESTERN GLOBAL AIRLINES","LIMA","MIAMI","-","-","-","-","-","-","-","-","-","1,542","-","-","1,542"
"Total general","","","15,102,851","9,503,904","10,874,637","10,870,776","10,594,287","10,585,565","14,643,389","13,988,705","15,842,138","13,792,096","15,124,387","16,435,071","157,357,806"
